,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mahajanga,-15.7167,46.3167,84.2,84,20,3.44,MG,1617600771
1,Puerto Ayora,-0.7393,-90.3518,75.99,95,44,1.12,EC,1617600771
2,Jamestown,42.097,-79.2353,37.4,65,1,4.61,US,1617600772
3,Hermanus,-34.4187,19.2345,63.0,92,99,1.01,ZA,1617600772
4,Sitka,57.0531,-135.33,39.2,93,90,9.22,US,1617600773
5,Pitimbu,-7.4706,-34.8086,77.0,88,0,4.61,BR,1617600773
6,Atuona,-9.8,-139.0333,79.97,80,78,10.54,PF,1617600773
7,Isangel,-19.55,169.2667,80.6,69,40,9.22,VU,1617600774
8,Mitú,1.1983,-70.1733,71.55,99,100,1.54,CO,1617600774
9,Rikitea,-23.1203,-134.9692,78.13,63,37,16.71,PF,1617600775
10,New Norfolk,-42.7826,147.0587,70.0,45,47,4.0,AU,1617600775
11,Mar del Plata,-38.0023,-57.5575,66.99,94,90,3.44,AR,1617600775
12,Talnakh,69.4865,88.3972,14.97,93,100,13.47,RU,1617600776
13,Yantal',56.8471,105.2542,33.93,80,100,3.04,RU,1617600776
14,Saint-Augustin,51.226,-58.6502,34.99,99,100,18.66,CA,1617600777
15,Kargasok,59.0556,80.8572,37.29,82,100,11.1,RU,1617600777
16,Saint George,37.1041,-113.5841,70.0,11,1,2.26,US,1617600778
17,Carnarvon,-24.8667,113.6333,84.2,65,73,18.41,AU,1617600778
18,Hithadhoo,-0.6,73.0833,83.59,74,51,15.75,MV,1617600778
19,Busselton,-33.65,115.3333,84.0,51,2,3.0,AU,1617600779
20,Mataura,-46.1927,168.8643,55.99,62,98,18.01,NZ,1617600779
21,Butaritari,3.0707,172.7902,81.97,80,82,12.75,KI,1617600780
22,Salisbury,51.0693,-1.7957,44.6,87,20,17.27,GB,1617600780
23,Poum,-20.2333,164.0167,79.52,67,77,23.2,NC,1617600780
24,Ribeira Grande,38.5167,-28.7,60.55,83,87,16.28,PT,1617600781
25,Whitehorse,60.7161,-135.0538,37.4,48,90,17.27,CA,1617600601
26,Thompson,55.7435,-97.8558,37.4,41,90,3.44,CA,1617600781
27,Hobart,-42.8794,147.3294,70.0,40,20,8.05,AU,1617600782
